name,id,parent_id,parent_name
1-13C-Caprylic Acid,02cw8dQeNA5,vVUc0XiiUW9,"Diagnostics, nonradioactive"
19-norprogesterone,F5dMppxDCr9,lNDqBEBQaC-,Hormones/hormone modifiers
5-Bromo-4-chlorosalicylamide (multifungin),gBjwCbKVslB,53R3OA9N867,Antifungals
5-Methoxypsoralen,nuV0Q5vuk7_,qLvG-6migV-,Antipsoriatics
"5HT3 receptor antagonist, NOS",mMhPTOIR7n_,NhH_ozk3HsD,Serotonin receptor antagonists
9-alpha-fluoroprednisolone,vOIMm_pYe-F,I9S3cHZ2XN-,"Corticosteroids, topical"
99mTc-hexamethyl propylene amine oxime,fr_c6FEsuk4,wm8smfB5tiA,"Diagnostics, radiopharmaceuticals"
99mTc-labeled macroaggregated albumin,UFf2fL98Zq6,wm8smfB5tiA,"Diagnostics, radiopharmaceuticals"
99mTc-labeled serum albumin microspheres,rRgIURQRb-C,wm8smfB5tiA,"Diagnostics, radiopharmaceuticals"
99mTc-pyrophosphate,UQRqQAGs9xC,wm8smfB5tiA,"Diagnostics, radiopharmaceuticals"
Abacavir Sulfate,y8vqpnFEfe5,wnKTyjkxda6,Nucleoside reverse transcriptase inhibitors
Abacavir Sulfate; Dolutegravir Sodium; Lamivudine,TPevzwiHN47,wnKTyjkxda6,Nucleoside reverse transcriptase inhibitors
Abacavir Sulfate; Lamivudine,hKITDn83Z5B,wnKTyjkxda6,Nucleoside reverse transcriptase inhibitors
Abacavir Sulfate; Lamivudine; Zidovudine,HSfPEtFI8AA,wnKTyjkxda6,Nucleoside reverse transcriptase inhibitors
Abaloparatide,PamEqquFUn4,lNDqBEBQaC-,Hormones/hormone modifiers
Abametapir,ySvvgzPFIwH,NGDcjdrJGW7,Scabicides/pediculicides
Abarelix,Nx1W7RKiCT6,-jMPjJr7ZU_,"Antineoplastics, hormones/hormone modifiers"
Abatacept,0Tj0L59Vsi6,E1jYwa0mN5_,Disease modifying antirheumatic drugs
Abciximab,0GBxp6tda-A,hTR1UGDfcS6,Monoclonal antibodies
Abecarnil,cV4Mf6VYbc_,eXDwdoxv_67,Anxiolytics
Abemaciclib,X1sO3uZ8XqG,UiuCko4C9xA,"Antineoplastics, kinase inhibitors"
Abetimus Sodium,etdQ2-aIz3D,CkZR4rXDctG,Immunosuppressives
Abiraterone Acetate,EP5H7CBBWPC,-rIVXZNYweC,"Antineoplastics, other"
Abrocitinib,bvIAO2YFasG,QblGx3T2oQ4,Dermatologics
Acalabrutinib,WmkTNAV0th6,UiuCko4C9xA,"Antineoplastics, kinase inhibitors"
Acamprosate Calcium,rA9QLNRgv2C,SmI7rRFEZI-,Antialcoholics
Acarbose,2dGKqVGzY1_,vuZJku02SG7,Alpha glucosidase inhibitors
Acebutolol Hydrochloride,kcX0dGXCIg8,zbYyh-Ngy29,"Antiadrenergics, beta blocking"
Acecainide,3RW5ANFye65,MyowBS67zbE,"Antiarrhythmics, class IA"
Aceclidine Hydrochloride,dL_DHMWmL24,N8XR7zQV95H,Ophthalmics
Aceclofenac,yp8Zxf2QA_-,ne8s9xavL9A,"Analgesics, non-narcotic"
Acedapsone,xPYOLzVncK4,bKOyGmkphBB,Antimycobacterials
Acemetacin,um-QUMuWnQB,ne8s9xavL9A,"Analgesics, non-narcotic"
Acetaminophen,SZ03LXemBn_,ne8s9xavL9A,"Analgesics, non-narcotic"
Acetaminophen; Aspirin; Caffeine,lcOk7oDGRoD,ne8s9xavL9A,"Analgesics, non-narcotic"
Acetaminophen; Butalbital,DKpzKV3cu3A,ne8s9xavL9A,"Analgesics, non-narcotic"
Acetaminophen; Butalbital; Caffeine,hAvCUF9BX87,ne8s9xavL9A,"Analgesics, non-narcotic"
Acetaminophen; Butalbital; Caffeine; Codeine Phosphate,ddwFoX2BTH-,njguYzQopJG,"Analgesics, narcotic"
Acetaminophen; Caffeine; Dihydrocodeine Bitartrate,rIBhVLBKL9H,njguYzQopJG,"Analgesics, narcotic"
Acetaminophen; Chlorpheniramine Maleate; Hydrocodone Bitartrate; Phenylephrine Hydrochloride,bgCqBXaqdf4,ne8s9xavL9A,"Analgesics, non-narcotic"
Acetaminophen; Chlorpheniramine Maleate; Phenylpropanolamine,kMhuFpRWOpH,ne8s9xavL9A,"Analgesics, non-narcotic"
Acetaminophen; Chlorzoxazone,PJmDaRoYN-H,ne8s9xavL9A,"Analgesics, non-narcotic"
Acetaminophen; Chlorzoxazone; Prednisolone,mjL2IenI2nD,ne8s9xavL9A,"Analgesics, non-narcotic"
Acetaminophen; Clemastine Fumarate; Pseudoephedrine Hydrochloride,6gEPe-EuDFG,ne8s9xavL9A,"Analgesics, non-narcotic"
Acetaminophen; Codeine Phosphate,sjFQWWhewrH,njguYzQopJG,"Analgesics, narcotic"
Acetaminophen; Dichloralphenazone; Isometheptene Mucate,R0_9_oKb_v4,tp5SZ2G5lJ6,Adrenergic agonists
Acetaminophen; Hydrocodone Bitartrate,PlTHMwjdO9C,njguYzQopJG,"Analgesics, narcotic"
Acetaminophen; Ibuprofen,ZfrYqIgHmL9,ne8s9xavL9A,"Analgesics, non-narcotic"
Acetaminophen; Oxycodone Hydrochloride,JiHDCVLe916,njguYzQopJG,"Analgesics, narcotic"
Acetaminophen; Pamabrom; Phenindamine,Fp3KeD_rwWE,ne8s9xavL9A,"Analgesics, non-narcotic"
Acetaminophen; Pheniramine Maleate; Phenylpropanolamine Hydrochloride; Pyrilamine Maleate; Triacetyloleandomycin,mtFknsv1Sm-,tp5SZ2G5lJ6,Adrenergic agonists
Acetaminophen; Phenylpropanolamine; Trimeprazine Tartrate,MD7kbjncvuD,ne8s9xavL9A,"Analgesics, non-narcotic"
Acetaminophen; Propoxyphene Hydrochloride,ecey_S20lPB,njguYzQopJG,"Analgesics, narcotic"
Acetaminophen; Propoxyphene Napsylate,32sDl62_Zd4,njguYzQopJG,"Analgesics, narcotic"
Acetaminophen; Tramadol Hydrochloride,pTqNLJvM42H,zub8vX6azy-,"Analgesics, narcotic-like"
Acetarsone,M9eW7uYwUKA,ISv-VRjyQeC,"Anti-infectives, topical"
Acetarsone; Neomycin Sulfate; Polymyxin B Sulfate,nt-bbYybIaC,oW0DZMGTAWB,"Antibiotics, aminoglycosides"
Acetazolamide Sodium,f3Kpo_CU55B,WSRxnd_GVs_,Carbonic anhydrase inhibitors
Acetic Acid,QVP3tK7rqOD,hCpojsY2e77,"Anti-infectives, otic"
Acetic Acid; Glycerin; Oxyquinoline Sulfate; Ricinoleic Acid,X7-czdkgxv7,ISv-VRjyQeC,"Anti-infectives, topical"
Acetic Acid; Hydrocortisone,zwhRnjbf33G,hCpojsY2e77,"Anti-infectives, otic"
Acetic Acid; Oxyquinoline Sulfate,Uwwy8fcU4_A,ISv-VRjyQeC,"Anti-infectives, topical"
Acetohexamide,WaG_SZhMbf7,4IjXSJpOah-,Antidiabetic agents
Acetohydroxamic Acid,QAbRIgJ4Tl9,IFiaDDeXtA_,"Antiseptics, urinary tract"
Acetophenazine Maleate,M6DW8oSqNi6,gubJbdWrgV-,Antipsychotics
Acetosulfone Sodium,xtMeHki-yh4,bKOyGmkphBB,Antimycobacterials
Acetrizoate Sodium,a_ZbVfiCDgC,vVUc0XiiUW9,"Diagnostics, nonradioactive"
Acetylamrinone,I6SWV-pb185,uo7pnDnbSqG,Phosphodiesterase inhibitors
Acetylcholine Chloride,ebNcjGd7qW4,L-QbfByv7dF,Cholinergics
Acetylcysteine,NDYRLSJd5R9,QYJFVr8b3NA,Antidotes
Acetylcysteine; Isoproterenol Hydrochloride,-rk4idJrdu9,tp5SZ2G5lJ6,Adrenergic agonists
Acetyldigitoxin,qngOfXeeRRG,-sNt7JwiPUC,"Antiarrhythmics, other"
Acetyldigoxin,1Fe0abGXHeC,-sNt7JwiPUC,"Antiarrhythmics, other"
Acipimox,FZJLhuvpiO8,IS4zFJj_Ix-,Antihyperlipidemics
Acitretin,UibwEerukaC,qLvG-6migV-,Antipsoriatics
Acivicin,qPr08OCsU67,fr6nSMR-Nf_,"Antineoplastics, antimetabolites"
Aclarubicin,1K2ZqoA9VlE,5bX2WGbxxsH,"Antineoplastics, antibiotics"
Aclidinium Bromide,zgKqabGrIHG,NNuXAzVcBz-,Anticholinergics
Aclidinium Bromide; Formoterol Fumarate Dihydrate,wk3-bktoha4,tp5SZ2G5lJ6,Adrenergic agonists
Acoltremon,4Y_a9hot-Z-,N8XR7zQV95H,Ophthalmics
Acoramidis Hydrochloride,eWXfWtPn1g_,xPI4MF-SJd9,Amyloidogenesis suppressant
Acrivastine,ZUXtqZpP7JE,BdgB63BvsxA,"Antihistamines, H1"
Acrivastine; Pseudoephedrine Hydrochloride,kB3Vxz0DE1B,BdgB63BvsxA,"Antihistamines, H1"
Activated Charcoal,z8s-m8ZEyT-,QYJFVr8b3NA,Antidotes
Acycline,mh0zq6UmG87,tuOxqllZ-h7,Gonadotropin-releasing hormone analogs
Acyclovir,jk_-qX-byOE,Qm6KT6ugkp9,Antivirals
Acyclovir; Hydrocortisone,A4m20cJs2e8,Qm6KT6ugkp9,Antivirals
Adagrasib,tjHJ4pkEO3G,-rIVXZNYweC,"Antineoplastics, other"
Adalimumab,TJyKUkI_cZ5,hTR1UGDfcS6,Monoclonal antibodies
"Adamts13, Recombinant",5KOYH-1u7--,AhqRivLC26A,Recombinant DNA Origin
Adapalene,skIs2Wy94FA,QblGx3T2oQ4,Dermatologics
Adapalene; Benzoyl Peroxide,CdXujcefdjC,QblGx3T2oQ4,Dermatologics
Adefovir Dipivoxil,xmT3ddljS15,Qm6KT6ugkp9,Antivirals
Ademetionine,gJYP0nxb146,ne8s9xavL9A,"Analgesics, non-narcotic"
Adenosine,RDP_ZIsWpGF,-sNt7JwiPUC,"Antiarrhythmics, other"
"Adenovirus Type 4 And Type 7 Vaccine, Live, Oral",fjn6Kkp_B9_,jy_Ljmo3tf_,Vaccines
Adiphenine,t8s3yaC5-hB,NNuXAzVcBz-,Anticholinergics
Adiphenine; Phenobarbital,bpadUcQQ2BG,NNuXAzVcBz-,Anticholinergics
Ado-Trastuzumab Emtansine,2tl7HFEzot6,6tm78WJkym7,"Antineoplastics, monoclonal antibodies"
Adrenaline; Atropine methonitrate; Papaverine hydrochloride,SnqSvyPnBt7,tp5SZ2G5lJ6,Adrenergic agonists
"Adrenergic agonists, NOS",ArylGgDUVX6,tp5SZ2G5lJ6,Adrenergic agonists
Aducanumab,_ep514LhSi-,hTR1UGDfcS6,Monoclonal antibodies
Afamelanotide,tnNyeSw0CPC,QblGx3T2oQ4,Dermatologics
Afamitresgene Autoleucel,R2lb5BIi70C,mRC9QLKlDxF,Cells
Afatinib Dimaleate,X2XHyZDOH5E,UiuCko4C9xA,"Antineoplastics, kinase inhibitors"
Aficamten,-lGNoWuLlyB,voca6S4icj-,Myosin inhibitors
Aflibercept,dVmqVOIVD87,N8XR7zQV95H,Ophthalmics
Agalsidase Alfa,lZPNJGzw379,yG-buCUnUTH,"Enzymes, metabolic"
Agalsidase Beta,7YRXX7vWZd6,yG-buCUnUTH,"Enzymes, metabolic"
Agomelatine,fmqjaklllT9,-QLnYy-v-_-,"Antidepressants, other"
Air Polymer-Type A,GverWzT3-XF,vVUc0XiiUW9,"Diagnostics, nonradioactive"
Ajmaline,kCS5r_zBSh-,MyowBS67zbE,"Antiarrhythmics, class IA"
"Ajmaline and its derivatives, NOS",rkGCpNzVuT_,MyowBS67zbE,"Antiarrhythmics, class IA"
Albendazole,H6D4LCJBQYB,vIJ9F7K0XO-,Antihelmintics
Albiglutide,prRqREOtzeB,4IjXSJpOah-,Antidiabetic agents
Albumin Iodinated I-131 Serum,ZYk-ZavDoXH,wm8smfB5tiA,"Diagnostics, radiopharmaceuticals"
"Albumin, Microspheres (Human)",oxmzRfyi3sH,znWEdbfmOTE,Plasma expanders
"Albumin, Normal Serum (Human)",rLEEa52BZw7,znWEdbfmOTE,Plasma expanders
Albuterol,qIwLvBLhC6G,tp5SZ2G5lJ6,Adrenergic agonists
Albuterol Sulfate,gkcO3CTvFg5,tp5SZ2G5lJ6,Adrenergic agonists
Albuterol; Budesonide,bA26fLkx7r5,tp5SZ2G5lJ6,Adrenergic agonists
Albuterol; Ipratropium Bromide,3PWnAbpSwa8,tp5SZ2G5lJ6,Adrenergic agonists
Alcaftadine,kFaDMCNl0zD,BdgB63BvsxA,"Antihistamines, H1"
Alclofenac,kWmBRABfBmE,ne8s9xavL9A,"Analgesics, non-narcotic"
Alclometasone Dipropionate,Cq4pZuQp9TH,I9S3cHZ2XN-,"Corticosteroids, topical"
Alcohol,fTVqhcqyDpF,0d-vC-5lLp5,Sclerosing agents
Alcohol Mixture,cOCsmXsaXrC,XLpAbpivax8,"Nutritionals, enteral/parenteral"
Alcohol; Chlorhexidine Gluconate,AKFlbId6Xk9,ISv-VRjyQeC,"Anti-infectives, topical"
Alcohol; Dextrose,bC0sfnqMSf-,XLpAbpivax8,"Nutritionals, enteral/parenteral"
Alcuronium,GTmFXd02NoD,6gRNbPthJjF,Musculoskeletal agents
Aldesleukin,SUiFJZspqGA,KTf2XilqX_8,"Antineoplastics, biological response modifiers"
"Aldose reductase inhibitors, NOS",Aky9i_INmjD,e3KwDIrApjH,Aldose reductase inhibitors
Alectinib Hydrochloride,e0m5dHFf6y7,UiuCko4C9xA,"Antineoplastics, kinase inhibitors"
Alefacept,KleAGgT_bQ-,CkZR4rXDctG,Immunosuppressives
Alemtuzumab,-TKGo_NcCPG,6tm78WJkym7,"Antineoplastics, monoclonal antibodies"
Alemtuzumab; Daclizumab; Mycophenolate Mofetil,hLugvhZBod-,hTR1UGDfcS6,Monoclonal antibodies
Alendronate Sodium,7QVJKqNNfu8,sX3EjbNKnbH,Bisphosphonates
Alendronate Sodium; Cholecalciferol,bfZSJ0jeOF-,sX3EjbNKnbH,Bisphosphonates
Alendronic Acid; Colecalciferol,1q47QghXLo6,6gRNbPthJjF,Musculoskeletal agents
Alfa-dihydroergocryptine,jUj28UTW1VF,RtVHDFd_tJH,Ergot alkaloids and derivatives
Alfacalcidol,spKdNkGzcjF,SXewe47-dN8,Vitamins/minerals
Alfadolone,k2QjAtCHhX5,Ws268WykZhE,"Anesthetics, general"
