name,id,parent_id,parent_name
11-beta-hydroxylase deficiency,emPe0TpyP2-,mW8L2s5rTF7,Inborn errors of steroid synthesis
11-deoxycorticosterone increased,Pt-11_2TslD,rrzIMtRXi4B,Adrenal cortex tests
11-deoxycortisol increased,r8PxZEI6yeC,rrzIMtRXi4B,Adrenal cortex tests
17 ketosteroids urine decreased,OHj9R_0Dhx5,CqdDHu4G7b6,Reproductive hormone analyses
17 ketosteroids urine increased,KGOywXdsp0C,CqdDHu4G7b6,Reproductive hormone analyses
17-hydroxyprogesterone decreased,n3L9XZMAirG,rrzIMtRXi4B,Adrenal cortex tests
17-hydroxyprogesterone increased,rceJ8eQT7SF,rrzIMtRXi4B,Adrenal cortex tests
5'nucleotidase decreased,5bZ4c4wzFa6,WvYkDogP6w_,Hepatobiliary function diagnostic procedures
5'nucleotidase increased,9gzdjm2QarC,WvYkDogP6w_,Hepatobiliary function diagnostic procedures
5-alpha-reductase deficiency,tSO5zEH7ICF,mW8L2s5rTF7,Inborn errors of steroid synthesis
5-hydroxyindolacetic acid,cgWqGxsOVn6,w2bZBwB2HLE,Metabolism tests NEC
5-hydroxyindolacetic acid decreased,imubaaJR5-H,w2bZBwB2HLE,Metabolism tests NEC
Abdominal abscess,ct6FFvzsROF,68n-k3PXXo9,Abdominal and gastrointestinal infections
Abdominal adhesions,RjqIcZnhZZA,95r91bQJLPF,Peritoneal and retroperitoneal fibrosis and adhesions
Abdominal bruit,aoM8XNHtQ1G,8UFgAbk2suC,Vascular auscultatory investigations
Abdominal cavity drainage,cIJ_spf_WmC,7BSQngvLuAB,Abdominal therapeutic procedures NEC
Abdominal compartment syndrome,liOj0cFGUYE,Qw-MH8yuUxD,Gastrointestinal disorders NEC
Abdominal discomfort,hlNQ3JAxhGB,1WZ-Z1phK1C,Gastrointestinal signs and symptoms NEC
Abdominal distension,RnS8byxQlm4,rqS8BM4X2gC,"Flatulence, bloating and distension"
Abdominal fat apron,Q1_scoXsG08,5jL2Ca78zd5,Abdominal wall conditions NEC
Abdominal hernia,-Zb4voSBZuD,FhKe2RGtwY7,Abdominal hernias NEC
Abdominal hernia obstructive,OEETxVdKb1D,FhKe2RGtwY7,Abdominal hernias NEC
Abdominal hernia perforation,1X9piIBNGnD,FhKe2RGtwY7,Abdominal hernias NEC
Abdominal infection,7ONNh7Qf_G4,68n-k3PXXo9,Abdominal and gastrointestinal infections
Abdominal injury,d6jY_trc5E9,wlHOzTCFxT_,Abdominal and gastrointestinal injuries NEC
Abdominal lymphadenopathy,yl181tT20J4,p6aY0R12RDE,Lymphatic system disorders NEC
Abdominal mass,mUECrNTHzNG,wnfG5cwYrCF,Abdominal findings abnormal
Abdominal neoplasm,i0LC0ocjHvE,fgB1XTn7blG,Neoplasms unspecified malignancy and site unspecified NEC
Abdominal operation,GsXZ0Le7ZG4,7BSQngvLuAB,Abdominal therapeutic procedures NEC
Abdominal pain,xe3Wo3TBS8D,96ZI2HLJWl7,Gastrointestinal and abdominal pains (excl oral and throat)
Abdominal pain lower,QAfm9lWqerE,96ZI2HLJWl7,Gastrointestinal and abdominal pains (excl oral and throat)
