schema,field,allowed_value
SafetyEntity,trScore,MORE_THAN_ONE_SPECIE_AND_HUMAN
SafetyEntity,trScore,ONE_SPECIE_AND_HUMAN
SafetyEntity,trScore,MORE_THAN_ONE_SPECIE
SafetyEntity,trScore,ONE_SPECIE
SafetyEntity,trScore,HUMAN_ONLY
FuzzyLookupFilter,taxonomy,ActivityTargetsExtended
FuzzyLookupFilter,taxonomy,ActivityTargets
FuzzyLookupFilter,taxonomy,Concomitants
FuzzyLookupFilter,taxonomy,ConcomitantSubstances
FuzzyLookupFilter,taxonomy,Drugs
FuzzyLookupFilter,taxonomy,Effects
FuzzyLookupFilter,taxonomy,Endpoints
FuzzyLookupFilter,taxonomy,Indications
FuzzyLookupFilter,taxonomy,MEDataTypes
FuzzyLookupFilter,taxonomy,Meyler
FuzzyLookupFilter,taxonomy,MEEnzymeTransporters
FuzzyLookupFilter,taxonomy,Pathogens
FuzzyLookupFilter,taxonomy,PKParameters
FuzzyLookupFilter,taxonomy,Species
FuzzyLookupFilter,taxonomy,Sources
FuzzyLookupFilter,taxonomy,Targets
FuzzyLookupFilter,taxonomy,ToxicityParameters
FuzzyLookupFilter,taxonomy,Routes
