name,id,parent_id,parent_name
21-hydroxylase deficiency,uf-9yyVT5p5,KviQif-xM18,21-hydroxylase deficiency
3beta-hydroxy-delta5-C27-steroid oxidoreductase deficiency,TpiY1YAEiwG,9GVHrnBZn04,3beta-hydroxy-delta5-C27-steroid oxidoreductase deficiency
5q minus myelodysplastic syndrome,TfGsVBz3DRD,3ZQXtU4dkj9,5q minus syndrome
7-dehydrocholesterol reductase deficiency,5a1-AkCwSS_,GaSos6hM7TE,7-dehydrocholesterol reductase deficiency
Abdominal mass,wRaCvrOk-dB,mUECrNTHzNG,Abdominal mass
Abdominal surgery,7UdQzoBlvTE,eQQ8phdphX7,Gastrointestinal surgery
Abortion,QpKyUrFFBVH,vb-aST9Bdc-,Abortion
Abortion induced,NP0lA_WYU_5,YY3tYQKfSw4,Abortion induced
Abortion septic,p4piTBlNEP-,e5Pf3UEcgz7,Abortion infected
Abortion spontaneous,oF8UzFf6pXA,0tbGF2xpeU5,Abortion spontaneous
Abortion spontaneous prophylaxis,K7j5Y7n3gKG,vUHcv4mY59_,Prophylaxis of abortion
Abscess,FaO3cfYjBhD,WlSA8B_VPZ6,Abscess
Abscess brain,fYg9dofYQoB,m1gmA_ZrsND,Brain abscess
Abscess cutaneous,8A2BlNET3G7,UfYYSGfPH9-,Subcutaneous abscess
Abscess intra-abdominal,vfTRmJy0lu5,ct6FFvzsROF,Abdominal abscess
Abscess liver,y6VHJJiSfT9,7OO23AJHXL-,Liver abscess
Abscess liver amebic,BcxWSzHCLJ_,xqH8Ygrw3S5,Hepatic amoebiasis
Abscess lung,N9Ol0YMse8-,if3F4D4-lO-,Lung abscess
Abscess pelvic,_JgmR-_Fx_C,zBuhY2MDgv6,Pelvic abscess
Abscess pulmonary,Om_KyL-Y9Y4,if3F4D4-lO-,Lung abscess
Abscess tubo-ovarian,PFeO7FvxjG5,9q_jDEotKiC,Tubo-ovarian abscess
Abscess unspecified,XBXTYM9pE7C,_sZ2GitFi46,Abscess unspecified
Acanthamoeba keratitis,Ffa7BWyghcH,wcozGzBwKo7,Acanthamoeba keratitis
Achondroplasia,wNAEVkmCDd4,HoUIIxMzoVB,Chondrodystrophy
Acid sphingomyelinase deficiency,8z6HGForPwH,Gkkc5SVzbWF,Niemann-Pick disease
Acidosis metabolic,AQsB-rZxg_9,65bGKjKnXUG,Metabolic acidosis
Acidosis metabolic secondary to cardiac arrest,Dy2-ue0voo6,65bGKjKnXUG,Metabolic acidosis
Acidosis metabolic secondary to cardiac surgery,v7c3jGn_jr8,65bGKjKnXUG,Metabolic acidosis
Acinetobacter infection,TFtcX3qrAd9,NHDBoNxMijB,Acinetobacter infection
Acne,QVzkL7fpQb-,wdJjRi5Nqq_,Acne
Acne nodular,bxQZk8XPr9E,wdJjRi5Nqq_,Acne
Acne pustular,soEX-aEHTB_,-wLiP5MABeC,Acne pustular
Acne rosacea,GexSqnlSUe_,SoKn9PPomu4,Rosacea
Acne urticata,RsbcHedAr8E,wdJjRi5Nqq_,Acne
Acne vulgaris,JvintwZmA5B,wdJjRi5Nqq_,Acne
Acquired coagulation factor deficiency induced by Vitamin K antagonist,Z_8jq_e1VFD,qSVDlVcBKt-,Multiple coagulation factors deficiencies
Acquired immunodeficiency syndrome,fzPtQcYR4-6,vabj8NP23gD,Acquired immunodeficiency syndrome
Acquired methemoglobinemia,poVhnSjwca_,2Skwgr8k6OA,Methaemoglobinaemia
Acromegaly,ESbSpCQ5tA8,pqpsfy347H_,Acromegaly
Actinomycosis,iPW-mNb7xDA,YZE32IpY-vC,Actinomycosis
Activated phosphoinositide 3-kinase delta syndrome,Da3QMvD-LC9,WjjMGfomxPA,Primary immunodeficiency syndrome
Acute coronary syndrome,yX2P_eb7078,hdVxxZRcSl5,Acute coronary syndrome
Acute graft-versus-host disease,thENq_SE3aG,IwE9NkS1hHD,Graft versus host disease
Acute graft-versus-host disease glucocorticoid-refractory,DA2MIh8i-cE,IwE9NkS1hHD,Graft versus host disease
Acute myelomonocytic leukaemia,TQFrUa77Eo8,BlXAOh77gl5,Acute myelomonocytic leukaemia
Acute otitis media,9gzAgX811m5,89ZiVoWC-85,Otitis media acute
Acute T-Cell Leukemia-Lymphoma,BODo45CPLq4,Iy5MwJ_0pMF,Adult T-cell lymphoma/leukaemia
Adams-Stokes,D8YDPFPDsi_,-i5WCqLoy0B,Adams-Stokes syndrome
Addison's disease,UCtryLgRxVH,j3uvDnCeTD6,Addison's disease
Adenocarcinoma,h7-3Vx7vH9F,UTOBElvoYyF,Adenocarcinoma
Adenoma adrenal,CQWgDUAiwk_,rje-BXfSGaB,Adrenal adenoma
Adenoma multiple endocrine,W8n0lbNdA5H,56LUFt27VX4,Multiple endocrine neoplasia
Adenoma prolactin-secreting,e0uLjEP6xn8,PcC5XnSl4l7,Prolactin-producing pituitary tumour
Adenosine deaminase deficiency,BOoZRluqRy_,AJUP4bFdec8,Combined immunodeficiency
