name,id,parent_id,parent_name
Administrative documents,VaOjaQR8ZZ6,odQBVMdsBSA,FDA approval packages
ANNEX,2rLbcq79Ou9,HwJZo61DYGB,EMA approval documents
ANNEX I,t3zt-nz4QUH,HwJZo61DYGB,EMA approval documents
Approval Letter,IvEM6Q8z-v_,odQBVMdsBSA,FDA approval packages
Approval Package,4Hx2FQook1-,odQBVMdsBSA,FDA approval packages
Assessment Report,YQHC1f2ICTH,HwJZo61DYGB,EMA approval documents
Assessment Report for Paediatric Studies,UOrjpllqOIG,HwJZo61DYGB,EMA approval documents
Bioequivalence Review,5QN-BtUFci7,odQBVMdsBSA,FDA approval packages
Chemistry Review,DQkGo1sZJxD,odQBVMdsBSA,FDA approval packages
Clinical Pharmacology and Biopharmaceutics Review,MoVrN-_N7M7,odQBVMdsBSA,FDA approval packages
Complete Response Letter,tX5GGIjGKRE,odQBVMdsBSA,FDA approval packages
Correspondence,p-ukj9YJ3AF,odQBVMdsBSA,FDA approval packages
Cross Discipline Team Leader Review,hraPfKOrYY9,odQBVMdsBSA,FDA approval packages
Environmental Review,pnO7raBLRO_,odQBVMdsBSA,FDA approval packages
FDA Approval Document,gNOUFqTP2A5,odQBVMdsBSA,FDA approval packages
Healthcare Professional Sheet,e3g7cm-YAF8,odQBVMdsBSA,FDA approval packages
Information on Procedure,6QHphqv3_pF,HwJZo61DYGB,EMA approval documents
Integrated Review,KeAJnMF3BBD,odQBVMdsBSA,FDA approval packages
Label,53R0EvbkXj4,odQBVMdsBSA,FDA approval packages
Letter,VDM7Gv3_gQ5,odQBVMdsBSA,FDA approval packages
Medical Officer Review,g6pOMMh8z6E,odQBVMdsBSA,FDA approval packages
Medical/Clinical Review,MFLyJWhSs79,odQBVMdsBSA,FDA approval packages
Medication Guide,607s-KB9-6G,odQBVMdsBSA,FDA approval packages
Medicine Overview,r5vlgg7kxuD,HwJZo61DYGB,EMA approval documents
Meyler's Document,Cu4Xl37mGqA,ufWU3votbP7,Meyler's 16th Edition
Microbiology Review,ElcazJHXxHE,odQBVMdsBSA,FDA approval packages
Mosby's Drug Consult™,l2oZu8A7KOA,,
Multi-Discipline Review,Zu3OLkojHjA,odQBVMdsBSA,FDA approval packages
Office Director Memo,57gby9jMsn4,odQBVMdsBSA,FDA approval packages
Other Action Letters,CAZ8Qo9KaEA,odQBVMdsBSA,FDA approval packages
Other Important Information from FDA,eduqShoCD2C,odQBVMdsBSA,FDA approval packages
Other Information from EMA,ZcP2_3KMFc-,HwJZo61DYGB,EMA approval documents
Other Reviews,QFKErBpZqD_,odQBVMdsBSA,FDA approval packages
Patient Information Sheet,ViHfkFLqnz9,odQBVMdsBSA,FDA approval packages
Patient Package Insert,dXWdlkiFRo5,odQBVMdsBSA,FDA approval packages
Periodic Safety Update Report Assessment,ALuymu1RDJ9,HwJZo61DYGB,EMA approval documents
Pharmacology Review,_CrZDyf0Z79,odQBVMdsBSA,FDA approval packages
PharmaPendium Published Toxicity,V7shuWjarwB,,
Positive Opinion Summary,_5YkqU0nMV4,HwJZo61DYGB,EMA approval documents
Press Release,AoLy0OdPPkH,HwJZo61DYGB,EMA approval documents
Printed Labeling,x5yHoFLHjW8,odQBVMdsBSA,FDA approval packages
Procedural Steps,cXrwWJ6wH-D,HwJZo61DYGB,EMA approval documents
Proprietary Name Review,x_-8Gb3rMK8,odQBVMdsBSA,FDA approval packages
Public Assessment Report,lCqnsIKS33C,HwJZo61DYGB,EMA approval documents
Q&A,-HaadSmYzq_,HwJZo61DYGB,EMA approval documents
Review,HxmdkKanwe6,odQBVMdsBSA,FDA approval packages
Risk Assessment and Risk Mitigation Review,Nh7ZPHwQLP7,odQBVMdsBSA,FDA approval packages
Risk Evaluation and Mitigation Strategy,9d6VexkQI7B,odQBVMdsBSA,FDA approval packages
Risk Management Plan,LrXQ7TEPdMA,HwJZo61DYGB,EMA approval documents
Risk Management Plan Summary,FK-kHRXC4G7,HwJZo61DYGB,EMA approval documents
Scientific Discussion,LmVMIeM_qX9,HwJZo61DYGB,EMA approval documents
Statistical Review,M6R9YJX9kGF,odQBVMdsBSA,FDA approval packages
Summary Review,B8VdkfQenA_,odQBVMdsBSA,FDA approval packages
Variation of Marketing Authorization Terms,2Zf3W8Tsem-,HwJZo61DYGB,EMA approval documents
Withdrawal Public Statement,nkRhA0RiJyC,HwJZo61DYGB,EMA approval documents
