name,id,parent_id,parent_name
Acestrorhynchus falcatus,Jh5x6Bpg2WH,OnKoNIEmA_A,Fish
Acroporid coral,EtIYccCloaG,nPFewJJuq94,Acropora
African clawed frog,PlMY2xxgzb8,Guwc1AoaDmB,Amphibian
African green monkey,dcylsezyXgH,6ZTeHxj99GC,Primate
American bullfrog,Sqj_QfBIpiG,Guwc1AoaDmB,Amphibian
American lobster,RBnuuBM9Up-,9FPHv4Y6A-5,Crustacea
Amphipod,kjEUIXf9tm4,9FPHv4Y6A-5,Crustacea
Animal (unspecified),o5-1ypbeAX4,lW5Jwm6kkwD,Animal unspecified
Anopheles stephensi,jCupSXeWAy_,qupKpAgusY_,Insect
Apple snail,qAlrGKEJ0BH,qarYH6EZ2m7,Mollusc
Arapaima gigas,o7xKI_yCYG8,OnKoNIEmA_A,Fish
Asian swamp eel,b6dfILx1Tz8,OnKoNIEmA_A,Fish
Aspergillus nidulans,bcvQnlfinN4,51aOiL5rFaF,Fungus
Astyanax,wNL9x24rgL7,OnKoNIEmA_A,Fish
Austronassaria simplex,Pco6eTG4nFH,qarYH6EZ2m7,Mollusc
Baboon,shbrCsADsq5,6ZTeHxj99GC,Primate
Bacillus subtilis,qRe4jhdBQp-,FiGLV1kduQ-,Bacterium
Bacteria (unspecified),PwCEOWLw0I6,FiGLV1kduQ-,Bacterium
Barbel,ruNoTB-DKgF,OnKoNIEmA_A,Fish
Bat,VryKUMZqZKA,nM8wlRYJNR_,Chiroptera
Beagle dog,qDwp-yRbyKA,F0rND6pfE3C,Carnivora
Bed bug,4Ho8WBA6f9G,qupKpAgusY_,Insect
Bee,r8VPND1Ik5H,qupKpAgusY_,Insect
Bee (T. fiebrigi),Zo5vWEaDJi5,qupKpAgusY_,Insect
Beet armyworm,veYWkdtMdw-,qupKpAgusY_,Insect
Beetle,4QjzI_1LiIC,qupKpAgusY_,Insect
Bergall,UhkGG0Nk614,OnKoNIEmA_A,Fish
Biomphalaria glabrata,cTahYVg_0V-,qarYH6EZ2m7,Mollusc
Bird (unspecified),dgtDnUYcsJF,3YKkIwNRoLH,Bird
Blackworm,aIfMjjTXnH8,rCMthrGpwxF,Worm
Blue bottle fly,Oz-BtRb0CT8,qupKpAgusY_,Insect
Bluegill,xhq7sa6WVf4,OnKoNIEmA_A,Fish
Brown mussel,q-dLyQG_0bC,qarYH6EZ2m7,Mollusc
Burmese loach,3A9lAxo42MG,OnKoNIEmA_A,Fish
Butcherbird,uokr2k2NiXA,3YKkIwNRoLH,Bird
Butterfly,byxdKb_iq64,rRWDmeblioC,Lepidoptera
Caddisfly,iW83vhzEdAG,qupKpAgusY_,Insect
Caenorhabditis elegans,z2EENy5iZt-,xw_q23Juu46,Rhabditidae
Calanoid copepod,XeKyk59By6A,9FPHv4Y6A-5,Crustacea
Calanoida,MraTwjETE-G,9FPHv4Y6A-5,Crustacea
Camel,2DIfCzlfFJ6,jfmJnXjgxAE,Camelidae
Candida albicans,jc9oGUgApo-,51aOiL5rFaF,Fungus
Capuchin monkey,9-EGry_j79-,6ZTeHxj99GC,Primate
Carp,xkdTvD3IXiE,OnKoNIEmA_A,Fish
Cat,YHYYiEx1Yz4,F0rND6pfE3C,Carnivora
Catfish,Z7j5yrLFVQB,OnKoNIEmA_A,Fish
Catshark,k-MGdNJTw2D,OnKoNIEmA_A,Fish
Cattle (unspecified),N4kGP8kFzJ7,llMQcjN35M7,Ungulate
Ceriodaphnia,fqGQ4lgIA75,9FPHv4Y6A-5,Crustacea
Chicken,H9z4LgkcEXA,1IhqLnCEqW9,Galliformes
Chimpanzee,nvzR7MY8f8_,6ZTeHxj99GC,Primate
Chinchilla,OVDa_zsN-N-,8tURyy1wDb8,Rodent
Chordodes nobilii,UlD5mieUQE9,UbePxGH4yE9,Chordodidae
Chub,nJo4onSJ6H5,OnKoNIEmA_A,Fish
Cichlid fish,xJkpx7Q8siA,OnKoNIEmA_A,Fish
Clam,u_HJcGI5AhH,qarYH6EZ2m7,Mollusc
Clam worm,gL0li4Z9P25,FjaKxkr6hfG,Polychaetes
Clawed frog,jYAiJ5sK5p_,Guwc1AoaDmB,Amphibian
Clownfish,A3Z6Xn14jTA,OnKoNIEmA_A,Fish
Cockroach,4QIFqaKtaUH,qupKpAgusY_,Insect
Cod,DKd7k-xrLHG,OnKoNIEmA_A,Fish
Common house mosquito,JHNakzWhfe6,qupKpAgusY_,Insect
Copepod,-AuCUZ8-7BA,9FPHv4Y6A-5,Crustacea
Copepod Moraria sp.,odEsrUDRF__,9FPHv4Y6A-5,Crustacea
Cow,dy8I1_y9Fr7,llMQcjN35M7,Ungulate
